query,name,google_id,place_id,location_link,reviews_link,reviews_per_score,reviews,rating,review_id,review_pagination_id,author_link,author_title,author_id,author_image,author_reviews_count,author_ratings_count,review_text,review_img_urls,review_img_url,review_questions,review_photo_ids,owner_answer,owner_answer_timestamp,owner_answer_timestamp_datetime_utc,review_link,review_rating,review_timestamp,review_datetime_utc,review_likes,reviews_id,review_questions_Price assessment,review_questions_Services,review_questions_Meal type,review_questions_Price per person,review_questions_Food,review_questions_Service,review_questions_Atmosphere,review_questions_Reservation,review_questions_Special events,review_questions_Recommendation for vegetarians,review_questions_Vegetarian offerings,review_questions_None,review_questions_Parking space,review_questions_Dietary restrictions,review_questions_Noise level,review_questions_Group size,review_questions_Parking options,review_questions_Parking,review_questions_Kid-friendliness,review_questions_Wheelchair accessibility,review_questions_Seating type,review_questions_Vegetarian options,review_questions_Wait time,review_questions_Price,review_questions_Stylist,review_questions_Busyness,review_questions_Service duration,review_questions_Requested style,review_questions_Hair type,review_questions_Specialties,review_questions_Maintenance,review_questions_Positive,review_questions_Negative
Veterinarian Austin TX,Honnas Veterinary,0x8644b5984fd79601:0x2497e33484ef7f66,ChIJAZbXT5i1RIYRZn_vhDTjlyQ,"https://www.google.com/maps/place/Honnas+Veterinary/@30.2508561,-97.7650939,14z/data=!4m8!1m2!2m1!1sHonnas+Veterinary!3m4!1s0x8644b5984fd79601:0x2497e33484ef7f66!8m2!3d30.2508561!4d-97.7650939",https://search.google.com/local/reviews?placeid=ChIJAZbXT5i1RIYRZn_vhDTjlyQ&q=*&authuser=0&hl=en&gl=US,"{""1"": 1, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 840}",852,5.0,Ci9DQUlRQUNvZENodHljRjlvT21Oc1pVMWpWRjl0WTNsYVgzTm9lVVJoY0U1WlYxRRAB,CAESYENBRVFBUnBDUTJrNFNVRlNTVzVEWjI5QlVEY3lSMDFzWXpVdGRWOWZSV2hDUVZKQmN6WnJkSEJ2WmtoWGJrMW9WVUZCUVVGQlIyZG1YMEZ0VFd4ak5TMTFSMEZCYVVGQg==,https://www.google.com/maps/contrib/100780528300803325883?hl=en,Howard Boggs,100780528300803325883,https://lh3.googleusercontent.com/a-/ALV-UjXqqdao5yV3l6XpW9E7z9RhY08nxDSCbANCakMxlNXM94NJhNl9=s120-c-rp-mo-ba3-br100,69,15,Great service and you can tell they care.,,,,,Thank you so much for your kind words! Looking forward to being here for any future needs 💚🐾,1773247715.0,03/11/2026 16:48:35,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21Oc1pVMWpWRjl0WTNsYVgzTm9lVVJoY0U1WlYxRRAB!2m1!1s0x0:0x2497e33484ef7f66!3m1!1s2@1:CAIQACodChtycF9oOmNsZU1jVF9tY3laX3NoeURhcE5ZV1E%7C0dgBU5fxdgA%7C?hl=en,5,1773193158,03/11/2026 01:39:18,,2636825921556807526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterinarian Austin TX,Honnas Veterinary,0x8644b5984fd79601:0x2497e33484ef7f66,ChIJAZbXT5i1RIYRZn_vhDTjlyQ,"https://www.google.com/maps/place/Honnas+Veterinary/@30.2508561,-97.7650939,14z/data=!4m8!1m2!2m1!1sHonnas+Veterinary!3m4!1s0x8644b5984fd79601:0x2497e33484ef7f66!8m2!3d30.2508561!4d-97.7650939",https://search.google.com/local/reviews?placeid=ChIJAZbXT5i1RIYRZn_vhDTjlyQ&q=*&authuser=0&hl=en&gl=US,"{""1"": 1, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 840}",852,5.0,Ci9DQUlRQUNvZENodHljRjlvT21wVFNVTnhUVTFqUlVWdFNYWkNZV015WDFCRlNIYxAB,CAESY0NBRVFBaHBFUTJwRlNVRlNTWEJEWjI5QlVEY3lSMDlwVW01Q04xOWZSV2hDVG0xNmRVNWtVMFJhUWxZeFFXTmtkMEZCUVVGQlIyZHVPVEpSU1VOWk5rcEhZMGh6V1VGRFNVRQ==,https://www.google.com/maps/contrib/108886215747984531733?hl=en,Alison Marwah,108886215747984531733,https://lh3.googleusercontent.com/a-/ALV-UjWi-I8WZVE_BEAvy56bjSSScXUA7zq9SSM0Yd1pxSO_GEfdvZjO=s120-c-rp-mo-br100,5,0,"The entire staff here was so accommodating when my dog needed to be seen last minute on the weekend and our regular vet was closed. They got us in within an hour of me calling and were so gentle and thorough while treating my dog. I really appreciate them and if we lived closer we would definitely see them regularly. Thank you, Honnas vet team!",,,,,"Hi Alison,
Thank you so much for your kind words! I’m so glad our team was able to get you in quickly and take great care of you and your sweet pup. We truly appreciate your trust in us. We hope you both have a safe and wonderful weekend, and please don’t hesitate to reach out if there’s anything else we can help with. 🐾",1771123806.0,02/15/2026 02:50:06,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21wVFNVTnhUVTFqUlVWdFNYWkNZV015WDFCRlNIYxAB!2m1!1s0x0:0x2497e33484ef7f66!3m1!1s2@1:CAIQACodChtycF9oOmpTSUNxTU1jRUVtSXZCYWMyX1BFSHc%7C0dZCCMs1kc4%7C?hl=en,5,1771098967,02/14/2026 19:56:07,,2636825921556807526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterinarian Austin TX,Honnas Veterinary,0x8644b5984fd79601:0x2497e33484ef7f66,ChIJAZbXT5i1RIYRZn_vhDTjlyQ,"https://www.google.com/maps/place/Honnas+Veterinary/@30.2508561,-97.7650939,14z/data=!4m8!1m2!2m1!1sHonnas+Veterinary!3m4!1s0x8644b5984fd79601:0x2497e33484ef7f66!8m2!3d30.2508561!4d-97.7650939",https://search.google.com/local/reviews?placeid=ChIJAZbXT5i1RIYRZn_vhDTjlyQ&q=*&authuser=0&hl=en&gl=US,"{""1"": 1, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 840}",852,5.0,Ci9DQUlRQUNvZENodHljRjlvT2xsYU0wdE1hRmxtTjAxZlRFTkJSVGRFU1c5ZlQxRRAB,CAESY0NBRVFBeHBFUTJwRlNVRlNTWEJEWjI5QlVEY3lSMDl6T1d4TFpsOWZSV2hEUTFaNE0xSnhXVU54YjBkM1RFRXRhMEZCUVVGQlIyZHVPVEpuV1VOWk5ub3lWWEE0V1VGRFNVRQ==,https://www.google.com/maps/contrib/114773451253221238841?hl=en,Allen,114773451253221238841,https://lh3.googleusercontent.com/a-/ALV-UjVOGRfZvaFtRZG7GQwOLRJz2pnmjajfWAV_I2HPXO9Jb6q2jZCW=s120-c-rp-mo-br100,3,0,Awesome staff helping to keep Rosie healthy and alive thanks Dr cheri,,,,,"Hi Allen,
Thank you for your kind words. I’m glad my team could help keep Rosie healthy! We look forward to being here for all future needs 🐾",1771124049.0,02/15/2026 02:54:09,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xsYU0wdE1hRmxtTjAxZlRFTkJSVGRFU1c5ZlQxRRAB!2m1!1s0x0:0x2497e33484ef7f66!3m1!1s2@1:CAIQACodChtycF9oOllaM0tMaFlmN01fTENBRTdESW9fT1E%7C0dYWQp4FMuy%7C?hl=en,5,1770919669,02/12/2026 18:07:49,,2636825921556807526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterinarian Austin TX,Honnas Veterinary,0x8644b5984fd79601:0x2497e33484ef7f66,ChIJAZbXT5i1RIYRZn_vhDTjlyQ,"https://www.google.com/maps/place/Honnas+Veterinary/@30.2508561,-97.7650939,14z/data=!4m8!1m2!2m1!1sHonnas+Veterinary!3m4!1s0x8644b5984fd79601:0x2497e33484ef7f66!8m2!3d30.2508561!4d-97.7650939",https://search.google.com/local/reviews?placeid=ChIJAZbXT5i1RIYRZn_vhDTjlyQ&q=*&authuser=0&hl=en&gl=US,"{""1"": 1, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 840}",852,5.0,Ci9DQUlRQUNvZENodHljRjlvT201clNYQlFWM0kyUWkxV1dVVTNUM1Z4ZFdac1owRRAB,CAESY0NBRVFCQnBFUTJwRlNVRlNTWEJEWjI5QlVEY3lSMUJEVVRkdVVsOWZSV2hDVWpKelFrRktlbXhZVFVseVNsOVVkMEZCUVVGQlIyZHVPVEpSU1VOWk9FcEVkV1JGV1VGRFNVRQ==,https://www.google.com/maps/contrib/115023118788441925515?hl=en,Naomi Torres,115023118788441925515,https://lh3.googleusercontent.com/a-/ALV-UjUYscVmctZkPC6gvqt0Bm2RYek9_ezKqOWhL0mhcvmWAU4khDx_SA=s120-c-rp-mo-ba3-br100,24,1,"Incredibly friendly & caring staff at this modern veterinary clinic in Austin. Took my two French bulldogs to get an initial check up at this clinic last month. The staff was kind and attentive. They explained in detail what I needed to hear about and listened to my concerns. Although I didn’t get any photos of our trip there, the facility is modern, clean and bright. I definitely felt like my fur babies were in safe hands.",,,,,"Thank you so much for your kind words! We’re thrilled to hear that you and your babies had such a positive experience with our team. Providing attentive, thorough care in a welcoming and clean environment is exactly what we strive for. It means so much to know you felt your fur babies were in safe hands. We look forward to seeing you all again soon! 🐾",1770847339.0,02/11/2026 22:02:19,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201clNYQlFWM0kyUWkxV1dVVTNUM1Z4ZFdac1owRRAB!2m1!1s0x0:0x2497e33484ef7f66!3m1!1s2@1:CAIQACodChtycF9oOm5rSXBQV3I2Qi1WWUU3T3VxdWZsZ0E%7C0dX9AXnQdzk%7C?hl=en,4,1770562274,02/08/2026 14:51:14,,2636825921556807526,Reasonable price,Service not listed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterinarian Austin TX,Honnas Veterinary,0x8644b5984fd79601:0x2497e33484ef7f66,ChIJAZbXT5i1RIYRZn_vhDTjlyQ,"https://www.google.com/maps/place/Honnas+Veterinary/@30.2508561,-97.7650939,14z/data=!4m8!1m2!2m1!1sHonnas+Veterinary!3m4!1s0x8644b5984fd79601:0x2497e33484ef7f66!8m2!3d30.2508561!4d-97.7650939",https://search.google.com/local/reviews?placeid=ChIJAZbXT5i1RIYRZn_vhDTjlyQ&q=*&authuser=0&hl=en&gl=US,"{""1"": 1, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 840}",852,5.0,Ci9DQUlRQUNvZENodHljRjlvT2tnMGFYY3dVa1JDY0UxWWFUVlVVeTFrUTNOSmFFRRAB,CAESY0NBRVFCUnBFUTJwRlNVRlNTWEJEWjI5QlVEY3lSMUJIV1hBMldWOWZSV2hFVVdsamVUSTRhVkpwUm1Zd2FUSk9RVUZCUVVGQlIyZHVPVEpSYTBOWk9GcHBibkJuV1VGRFNVRQ==,https://www.google.com/maps/contrib/104356404635670003940?hl=en,Sahiti Karumuri,104356404635670003940,https://lh3.googleusercontent.com/a-/ALV-UjV_JbYOrOBlIwB_e0PO-qseQg-SsQM_uJjasbSMKvpE_HWENaLbBw=s120-c-rp-mo-br100,10,2,Initially had a not great experience here but recently had to take my cat in for a urinary blockage and the staff was so incredibly kind and patient. Dr. Thornley was so helpful and supportive during the whole process and I could tell she genuinely cared. We had to hospitalize him overnight and the night nurse sky was so good with him.,,,,,"Hi Sahiti, I’m very sorry that your first experience with us was not a positive one, but I’m grateful we had the opportunity to make things right. I’m so glad to hear that Sky and Dr. Thornley were able to provide compassionate, thorough care for sweet Archer. 🐾",1770495490.0,02/07/2026 20:18:10,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tnMGFYY3dVa1JDY0UxWWFUVlVVeTFrUTNOSmFFRRAB!2m1!1s0x0:0x2497e33484ef7f66!3m1!1s2@1:CAIQACodChtycF9oOkg0aXcwUkRCcE1YaTVUUy1kQ3NJaEE%7C0dWtIKJwFGp%7C?hl=en,5,1770493141,02/07/2026 19:39:01,,2636825921556807526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterinarian Austin TX,Honnas Veterinary,0x8644b5984fd79601:0x2497e33484ef7f66,ChIJAZbXT5i1RIYRZn_vhDTjlyQ,"https://www.google.com/maps/place/Honnas+Veterinary/@30.2508561,-97.7650939,14z/data=!4m8!1m2!2m1!1sHonnas+Veterinary!3m4!1s0x8644b5984fd79601:0x2497e33484ef7f66!8m2!3d30.2508561!4d-97.7650939",https://search.google.com/local/reviews?placeid=ChIJAZbXT5i1RIYRZn_vhDTjlyQ&q=*&authuser=0&hl=en&gl=US,"{""1"": 1, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 840}",852,5.0,Ci9DQUlRQUNvZENodHljRjlvT2paeVlXUlVTVU41TkVScFMzcHBkMVJ6UmxRMGFGRRAB,CAESY0NBRVFCaHBFUTJwRlNVRlNTWEJEWjI5QlVEY3lSMVZLTkhrMFNWOWZSV2hDT1MxdU9HWTJaV1pRUm5BM05IazRjMEZCUVVGQlIyZHVPVEpRWjBOYVVXNXFUR2RuV1VGRFNVRQ==,https://www.google.com/maps/contrib/108288614716878228791?hl=en,Jamie Phillips,108288614716878228791,https://lh3.googleusercontent.com/a-/ALV-UjVvgYAuwi7Cj3CT0iulvY39Az2ZpgFKPNW5s71ohiAP5CtsnVQ=s120-c-rp-mo-ba2-br100,23,6,"Honnas Veterinary is, in my opinion, an excellent place to take your pets. The staff is incredibly kind and genuinely cares about your pet’s well-being rather than focusing on profit. When I arrived, I was able to speak directly with the veterinarian, and together we created a plan to get my dog back to good health. The cost was very reasonable, too.",https://lh3.googleusercontent.com/geougc-cs/ABOP9pvqGBWE7kBriouGSzyFqCkIahMy8v_BnWfeP-9z2T8hhLPfjv2VKp1kkJcxj7F1bnCMmB3nRScyyEu2gR6SlQOZnTpKVjWK2HBwjXm70xQyZa5NYFcGWzNiSl-eKyRCiuQhGbNChnHoJ2p7,https://lh3.googleusercontent.com/geougc-cs/ABOP9pvqGBWE7kBriouGSzyFqCkIahMy8v_BnWfeP-9z2T8hhLPfjv2VKp1kkJcxj7F1bnCMmB3nRScyyEu2gR6SlQOZnTpKVjWK2HBwjXm70xQyZa5NYFcGWzNiSl-eKyRCiuQhGbNChnHoJ2p7,,CIABIhA1JEJ0CPiNPedO3GfGl0ns,"Hi Jamie, what an adorable pup! Thank you so much for your kind words. I’m so happy to hear that our team treated you with such kindness and helped you and your pup feel at ease. We know how stressful it can be when your pet isn’t feeling their best, and we take great pride in supporting them on their journey back to health. Please know we’re always here if you need anything moving forward. 💚",1765421739.0,12/11/2025 02:55:39,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2paeVlXUlVTVU41TkVScFMzcHBkMVJ6UmxRMGFGRRAB!2m1!1s0x0:0x2497e33484ef7f66!3m1!1s2@1:CAIQACodChtycF9oOjZyYWRUSUN5NERpS3ppd1RzRlQ0aFE%7C0dCBEAEDs16%7C?hl=en,5,1765065675,12/07/2025 00:01:15,,2636825921556807526,Reasonable price,Large animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterinarian Austin TX,Honnas Veterinary,0x8644b5984fd79601:0x2497e33484ef7f66,ChIJAZbXT5i1RIYRZn_vhDTjlyQ,"https://www.google.com/maps/place/Honnas+Veterinary/@30.2508561,-97.7650939,14z/data=!4m8!1m2!2m1!1sHonnas+Veterinary!3m4!1s0x8644b5984fd79601:0x2497e33484ef7f66!8m2!3d30.2508561!4d-97.7650939",https://search.google.com/local/reviews?placeid=ChIJAZbXT5i1RIYRZn_vhDTjlyQ&q=*&authuser=0&hl=en&gl=US,"{""1"": 1, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 840}",852,5.0,Ci9DQUlRQUNvZENodHljRjlvT25WalZHSTFZMFpCV21rMk9FZEhWbVpCZVVWTlRGRRAB,CAESY0NBRVFCeHBFUTJwRlNVRlNTWEJEWjI5QlVEY3lSMVZMYTFJeWFGOWZSV2hEZDJ4TVFVMU1SemhoTmt4cGRDMW9RVUZCUVVGQlIyZHVPVEp4ZDBOYVVYRlNTR0ZGV1VGRFNVRQ==,https://www.google.com/maps/contrib/114739827164242527415?hl=en,Carmen Edwards,114739827164242527415,https://lh3.googleusercontent.com/a-/ALV-UjXejvnFLoaUXJYTaYAO2rIaIx8_XEkI1pydF28bqPl7X2t7UOOd=s120-c-rp-mo-br100,11,3,super quick and very cute! the private room was awesome.,,,,,"Hi Carmen, 
I’m so glad our team was able to help you today and that your appointment went smoothly. It makes us happy to hear you enjoyed our private rooms—we designed them with the comfort of both you and your pets in mind. We look forward to being here for you and your pets’ needs in the future! 💚🐾",1765065025.0,12/06/2025 23:50:25,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25WalZHSTFZMFpCV21rMk9FZEhWbVpCZVVWTlRGRRAB!2m1!1s0x0:0x2497e33484ef7f66!3m1!1s2@1:CAIQACodChtycF9oOnVjVGI1Y0ZBWmk2OEdHVmZBeUVNTFE%7C0dC8S3AMX_6%7C?hl=en,5,1765054276,12/06/2025 20:51:16,,2636825921556807526,Great price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterinarian Austin TX,Honnas Veterinary,0x8644b5984fd79601:0x2497e33484ef7f66,ChIJAZbXT5i1RIYRZn_vhDTjlyQ,"https://www.google.com/maps/place/Honnas+Veterinary/@30.2508561,-97.7650939,14z/data=!4m8!1m2!2m1!1sHonnas+Veterinary!3m4!1s0x8644b5984fd79601:0x2497e33484ef7f66!8m2!3d30.2508561!4d-97.7650939",https://search.google.com/local/reviews?placeid=ChIJAZbXT5i1RIYRZn_vhDTjlyQ&q=*&authuser=0&hl=en&gl=US,"{""1"": 1, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 840}",852,5.0,Ci9DQUlRQUNvZENodHljRjlvT21kT1ZIQlBkVUZJYVdGelduRkdkbUZKVjI5WmVtYxAB,CAESYENBRVFDQnBDUTJrNFNVRlNTVzVEWjI5QlVEY3lSMVpxUmtaemQxOWZSV2hFYjJkdWMxZGZZbE5LVmxndGFuTmlkMEZCUVVGQlIyZG1YMEZ0Vm1wR1JuTjNSMEZCYVVGQg==,https://www.google.com/maps/contrib/118246386008874196378?hl=en,Jonathan Rierson,118246386008874196378,https://lh3.googleusercontent.com/a-/ALV-UjUxcSpU1lOE11c8lOQvt1q4m8p-3gWzxvbtitNKBMXnaXHRr7X3=s120-c-rp-mo-br100,2,1,,,,,,Thank you so much! Looking forward to be there for any future needs 💖🐾,1763773482.0,11/22/2025 01:04:42,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kT1ZIQlBkVUZJYVdGelduRkdkbUZKVjI5WmVtYxAB!2m1!1s0x0:0x2497e33484ef7f66!3m1!1s2@1:CAIQACodChtycF9oOmdOVHBPdUFIaWFzWnFGdmFJV29Zemc%7C0d6Tu-BL8sh%7C?hl=en,5,1763569280,11/19/2025 16:21:20,,2636825921556807526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterinarian Austin TX,Honnas Veterinary,0x8644b5984fd79601:0x2497e33484ef7f66,ChIJAZbXT5i1RIYRZn_vhDTjlyQ,"https://www.google.com/maps/place/Honnas+Veterinary/@30.2508561,-97.7650939,14z/data=!4m8!1m2!2m1!1sHonnas+Veterinary!3m4!1s0x8644b5984fd79601:0x2497e33484ef7f66!8m2!3d30.2508561!4d-97.7650939",https://search.google.com/local/reviews?placeid=ChIJAZbXT5i1RIYRZn_vhDTjlyQ&q=*&authuser=0&hl=en&gl=US,"{""1"": 1, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 840}",852,5.0,ChdDSUhNMG9nS0VJQ0FnSUNicWVyNGdBRRAB,CAESY0NBRVFDUnBFUTJwRlNVRlNTWEJEWjI5QlVEY3lSMWd6V0dGMVdsOWZSV2hFUjNKUFYwOXhZekJMWjJKUVpETXlVVUZCUVVGQlIyZHVPVEpZUlVOYVptUmtjVFZyV1VGRFNVRQ==,https://www.google.com/maps/contrib/115667222028077784078?hl=en,Normie,115667222028077784078,https://lh3.googleusercontent.com/a/ACg8ocKraEYM4NaivkzzP_nBx5IxFZxhwR8y0Bf8A4stzQFSa_pnKQ=s120-c-rp-mo-br100,5,0,"As soon as I walked in Craig took care of my baby Luna. He was sweet and had a soft tone. The vet was also super gentle with my baby. It was one of the friendliest places Ive been to. Im definitely going back, although I hope not any time soon!",https://lh3.googleusercontent.com/geougc-cs/ABOP9puCqdljleeEVSo_L3oK7OEvOzU3V2z9lTc8liXluO26XNOWMr1-RQBEmiKrb4uqCLH-lKNW9qdxoPevhhMl5p58HCyY9hfCbl5JgICp8Hh_3qbQ4tAaydVrcVtBGT_4OVD59bLD,https://lh3.googleusercontent.com/geougc-cs/ABOP9puCqdljleeEVSo_L3oK7OEvOzU3V2z9lTc8liXluO26XNOWMr1-RQBEmiKrb4uqCLH-lKNW9qdxoPevhhMl5p58HCyY9hfCbl5JgICp8Hh_3qbQ4tAaydVrcVtBGT_4OVD59bLD,,CIHM0ogKEICAgICbqer4IA,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNicWVyNGdBRRAB!2m1!1s0x0:0x2497e33484ef7f66!3m1!1s2@1:CIHM0ogKEICAgICbqer4gAE%7CCgsI64qatQYQ2IreKw%7C?hl=en,5,1761081447,10/21/2025 21:17:27,,2636825921556807526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterinarian Austin TX,Honnas Veterinary,0x8644b5984fd79601:0x2497e33484ef7f66,ChIJAZbXT5i1RIYRZn_vhDTjlyQ,"https://www.google.com/maps/place/Honnas+Veterinary/@30.2508561,-97.7650939,14z/data=!4m8!1m2!2m1!1sHonnas+Veterinary!3m4!1s0x8644b5984fd79601:0x2497e33484ef7f66!8m2!3d30.2508561!4d-97.7650939",https://search.google.com/local/reviews?placeid=ChIJAZbXT5i1RIYRZn_vhDTjlyQ&q=*&authuser=0&hl=en&gl=US,"{""1"": 1, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 840}",852,5.0,Ci9DQUlRQUNvZENodHljRjlvT2xOblRrbG5ZbVF6Tm5CYWIwYzVNVWwyTmpaS2VsRRAB,CAESY0NBRVFDaHBFUTJwRlNVRlNTWEJEWjI5QlVEY3lSMWxZVlhwdVdGOWZSV2hEYldZNVozaGFUVTF3T0VOUlRFSk5TVUZCUVVGQlIyZHVPVEpSVlVOYWFHUlVUMlJqV1VGRFNVRQ==,https://www.google.com/maps/contrib/100690386884198968000?hl=en,Kate Morales,100690386884198968000,https://lh3.googleusercontent.com/a-/ALV-UjUYG1wCfa32G2HO_zi1FsUcUlOXtddQNLvf-GntTr90Qk-AG2Zz=s120-c-rp-mo-ba2-br100,9,2,My dog Teddy recently had to be put down. The news was very unexpected and hard for my family. The Drs and assistants were so compassionate and gave us all the time and privacy to say our goodbyes. When I got home after the hardest days of my life I received flowers from Honnas although this was not our primary veterinary and we were just in town visiting. Thank you for your compassion and for making Teddys last day comforting for not only him but for us.,"https://lh3.googleusercontent.com/geougc-cs/ABOP9pv70D7Dtpw_BZRcLf7waBacB9kNE_AdkuYOPSxOFWT-sBGNt2gb38yfxVePGq3TaVIHZdmtOUc9ZyOltGOsKdbsS9-EVDMsU-N_8FN1xI1z-p6rT1Yho2-YzUlx6tj21_i0a03arkvFtbjJ, https://lh3.googleusercontent.com/geougc-cs/ABOP9purY6qqIiL1hSDntHNnMA9JSm2lTjcxb5AktebD3p3VSq1sMb8ufU2Bq4xvn6qP-xPBA2Dq8MfHezJ8z_eN-eoDB23_tBjT8jBa2JMRj6r6ZTOfaKyq-NDKIgrxuIx4OmrglXfU4QEPquM",https://lh3.googleusercontent.com/geougc-cs/ABOP9pv70D7Dtpw_BZRcLf7waBacB9kNE_AdkuYOPSxOFWT-sBGNt2gb38yfxVePGq3TaVIHZdmtOUc9ZyOltGOsKdbsS9-EVDMsU-N_8FN1xI1z-p6rT1Yho2-YzUlx6tj21_i0a03arkvFtbjJ,,"CIABIhBDspAWJJZQH5AdFIDy0erL, CIABIhCjTHbfBzgE1SAfvwv0CORy","Kate,
I’m so sorry for your loss. I’m grateful that my team was able to be there for you and support you through such a difficult time. Please know that Teddy was so deeply loved and lived the absolute best life by your side. 💚
I’m glad the flowers were able to bring a bit of comfort to you and your family. Sending you all our love and care.",1760758249.0,10/18/2025 03:30:49,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xOblRrbG5ZbVF6Tm5CYWIwYzVNVWwyTmpaS2VsRRAB!2m1!1s0x0:0x2497e33484ef7f66!3m1!1s2@1:CAIQACodChtycF9oOlNnTklnYmQzNnBab0c5MUl2NjZKelE%7C0cvwbh4jGHR%7C?hl=en,5,1760545261,10/15/2025 16:21:01,,2636825921556807526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
